ID,pixelcount,UTM
2651571,9,33N
2651906,0,33N
2651901,39,33N
2651905,7,33N
2651904,126,33N
2651911,21,33N
2651912,211,33N
2652699,447,33N
2652701,6,33N
2652704,4,33N
2652703,6,33N
2652700,54,33N
2653397,150,33N
2653396,162,33N
2664204,393,33N
2664206,77,33N
2665267,73,33N
2665266,262,33N
2665268,5,33N
2665270,434,33N
2665269,305,33N
2666649,278,33N
2666653,0,33N
2666654,49,33N
2666652,22,33N
2666651,395,33N
2666650,165,33N
2666655,404,33N
2671958,252,33N
2671960,184,33N
2672712,3,33N
2673155,295,33N
2686277,0,33N
2686276,130,33N
2686278,174,33N
2686279,282,33N
2686282,0,33N
2686283,36,33N
2686284,0,33N
2693242,154,33N
2694282,255,33N
2694284,152,33N
2694283,69,33N
2694285,13,33N
2694634,14,33N
2694636,189,33N
2694635,73,33N
2731732,13,33N
2732108,0,33N
2732106,68,33N
2732111,45,33N
2733231,59,33N
2733235,406,33N
2733238,48,33N
2733237,107,33N
2733236,87,33N
2782638,128,33N
2802907,262,33N
2803338,1,33N
2803694,17,33N
2807981,0,33N
2822300,0,33N
2822301,20,33N
2822302,34,33N
2822303,227,33N
2822304,60,33N
2822305,252,33N
2822306,236,33N
2840288,472,33N
2849622,92,33N
2849617,1,33N
2849621,0,33N
2849620,95,33N
2849623,127,33N
2855698,137,33N
2858335,0,33N
2858334,14,33N
2858339,264,33N
2858331,638,33N
2858341,469,33N
2858342,844,33N
2858338,721,33N
2858340,42,33N
2904997,642,33N
2904999,122,33N
2905224,163,33N
3107047,14,33N
3107043,208,33N
3107046,114,33N
3107044,67,33N
3107048,154,33N
3107045,245,33N
3106656,11,33N
3106657,268,33N
3106652,1,33N
3106654,180,33N
3106653,211,33N
3106655,1,33N
3106651,0,33N
3157185,209,33N
3178742,0,33N
3178743,5,33N
3178745,79,33N
3178741,263,33N
3178740,289,33N
3178744,4,33N
3182682,186,33N
3183043,1,33N
3183047,4,33N
3183046,0,33N
3183045,3,33N
3183044,3,33N
3184258,0,33N
3184260,17,33N
3184259,17,33N
3184697,107,33N
3184696,14,33N
3185885,0,33N
3185884,112,33N
3185889,57,33N
3185891,25,33N
3185894,3,33N
3185892,67,33N
3187368,0,33N
3187366,249,33N
3187367,7,33N
3187370,399,33N
3187372,125,33N
3187365,159,33N
3187375,9,33N
3196418,144,33N
3196411,424,33N
3196412,196,33N
3196414,40,33N
3196416,7,33N
3196417,0,33N
3196413,346,33N
3200694,461,33N
3200693,5,33N
3200697,12,33N
3200699,84,33N
3200700,182,33N
3200703,307,33N
3200704,20,33N
3200696,248,33N
3200695,380,33N
3200702,352,33N
3200705,3,33N
3200698,130,33N
3200707,2,33N
3200706,44,33N
3201651,586,33N
3203654,0,33N
3203657,187,33N
3203663,313,33N
3203664,0,33N
3203655,0,33N
3203661,113,33N
3203656,8,33N
3203662,453,33N
3203660,752,33N
3203794,19,33N
3203795,31,33N
3203796,26,33N
3203800,178,33N
3203801,183,33N
3203798,28,33N
3203793,365,33N
3203799,59,33N
3203797,129,33N
3205205,192,33N
3205339,0,33N
3205350,35,33N
3211616,73,33N
3211618,84,33N
3211617,24,33N
3211613,465,33N
3211615,721,33N
3211621,2,33N
3211614,57,33N
3211620,131,33N
3211619,443,33N
3219234,0,33N
3219233,0,33N
3219230,544,33N
3219232,22,33N
3233827,465,33N
3233825,685,33N
3233830,506,33N
3233831,2,33N
3233833,159,33N
3233832,161,33N
3239908,110,33N
3239913,314,33N
3239911,667,33N
3239916,42,33N
3296349,0,33N
3296352,0,33N
3296350,7,33N
3296354,316,33N
3296351,12,33N
3296353,241,33N
3301013,111,33N
3333518,194,33N
3333519,76,33N
3333522,31,33N
3333520,478,33N
3333524,18,33N
3333528,0,33N
3333523,0,33N
3333529,164,33N
3333532,339,33N
3333531,29,33N
3333521,194,33N
3333530,13,33N
3335077,125,33N
3341844,0,33N
3341843,71,33N
3341846,0,33N
3341849,23,33N
3341847,5,33N
3341850,5,33N
3380722,0,33N
3380721,0,33N
3382212,0,33N
